sample_id,museum,artifact_id,entity_type,system_status,mention_text,span_judgment,entity_type_judgment,artifact_relation_judgment,resolution_judgment,expected_identity,accepted_target_ids,failure_categories,evidence_note,citation_urls
review-001,brooklyn,brooklyn-3317,ruler,ambiguous,Akhenaten,supported,supported,supported,underresolved,Akhenaten (Amenhotep IV),,incomplete_reconciliation,The museum identifies the shabti as Akhenaten; the two current graph units denote one ruler and should not force an ambiguous result.,https://www.brooklynmuseum.org/objects/3317|https://pharaoh.se/ancient-egypt/pharaoh/amenhotep-iv/
review-002,brooklyn,brooklyn-3866,ruler,ambiguous,Sobekhotep III,supported,supported,supported,underresolved,Sobekhotep III,,incomplete_reconciliation,The title names Sobekhotep III; two unreconciled current source units create artificial ambiguity.,https://www.brooklynmuseum.org/objects/3866|https://pharaoh.se/ancient-egypt/pharaoh/sobekhotep-iii/
review-003,brooklyn,brooklyn-3160,ruler,resolved,Maatkare,supported,unsupported,supported_person_but_wrong_authority_type,false_link,"Queen/God's Wife Maatkare, daughter of Painedjem I (not Hatshepsut)",,homonym|entity_typing,A title cue 'Queen' was treated as ruler evidence and the bare homonym Maatkare was linked to Hatshepsut. Institutional comparanda distinguish Dynasty-21 Maatkare from Hatshepsut's throne name.,https://www.brooklynmuseum.org/objects/3160|https://www.metmuseum.org/art/collection/search/545948|https://www.metmuseum.org/art/collection/search/544450
review-004,brooklyn,brooklyn-3635,ruler,resolved,Osorkon I,supported,supported,supported,supported,Osorkon I,cluster-beckerath-22.02,,Museum title and current source-referenced authority agree on Osorkon I.,https://www.brooklynmuseum.org/objects/3635|https://pharaoh.se/ancient-egypt/pharaoh/osorkon-i/
review-005,brooklyn,brooklyn-3799,ruler,uncertain_identity,(Cleopatra VII,minor_boundary_error,supported,uncertain,correct_abstention,,,boundary_punctuation,The museum title itself marks Cleopatra VII as tentative; abstention is appropriate. The extracted span retains an opening parenthesis.,https://www.brooklynmuseum.org/objects/3799
review-006,brooklyn,brooklyn-19079,ruler,unmatched,Henuttawy,supported,unsupported,supported_person_but_wrong_authority_type,correct_abstention,Queen Henuttawy (royal person; not established here as a ruler),,entity_typing|authority_scope,"The museum title supports the person mention, but a generic Queen cue is insufficient to type every queen as a ruler. No ruler link is accepted.",https://www.brooklynmuseum.org/objects/19079
review-007,brooklyn,brooklyn-3854,ruler,unmatched,Amunhotep III,supported,supported,uncertain,underresolved,"Amunhotep III as one explicit alternative, not a certain artifact identification",,uncertainty_parser|missing_alias,Brooklyn explicitly gives an Amun-Re versus Amunhotep III alternative. The adapter missed both the 'or' hedge and the Amunhotep/Amenhotep spelling relation; it should preserve a candidate without asserting a link.,https://www.brooklynmuseum.org/objects/3854|https://pharaoh.se/ancient-egypt/pharaoh/amenhotep-iii/
review-008,brooklyn,brooklyn-15551,site,ambiguous,Fayum,supported,supported,supported,correct_abstention,,,place_granularity_homonym,The string contains Fayum but does not by itself select the city versus oasis current targets; retaining both candidates is safer than guessing.,https://www.brooklynmuseum.org/objects/15551|https://gazetteer.dainst.org/doc/2042846.html|https://gazetteer.dainst.org/doc/2751193.html
review-009,brooklyn,brooklyn-116772,site,resolved,Saqqara,supported,supported,supported,supported,Saqqara,idai:2042907,,The museum place and iDAI's Saqqara archaeological/populated-place record agree.,https://www.brooklynmuseum.org/objects/116772|https://gazetteer.dainst.org/doc/2042907.html
review-010,brooklyn,brooklyn-3125,site,resolved,Haraga,supported,supported,supported,supported,Harageh (Haraga),idai:2751316,,Haraga is a committed alias on the iDAI Harageh target.,https://www.brooklynmuseum.org/objects/3125|https://gazetteer.dainst.org/doc/2751316.html
review-011,brooklyn,brooklyn-10008,site,unmatched,Egypt,supported,supported,supported,correct_abstention,Egypt,,missing_current_target,"Egypt is valid structured museum evidence. The live iDAI Egypt root exists but is absent from the current committed 1,000-row representation, so it was correctly not imported at evaluation time.",https://www.brooklynmuseum.org/objects/10008|https://gazetteer.dainst.org/place/2042786
review-012,brooklyn,brooklyn-3150,site,unmatched,Samayna,supported,supported,supported,correct_abstention,Samayna,,missing_current_target,Samayna is a genuine museum place value but no current committed site target matched it.,https://www.brooklynmuseum.org/objects/3150|https://www.metmuseum.org/art/collection/search/558188
review-013,brooklyn,brooklyn-3083,tomb_monument,unmatched,Tomb D303,supported,supported,supported,correct_abstention,Local tomb D303 at Abydos,,missing_current_target|tomb_register_scope,"The structured Brooklyn location explicitly names Tomb D303 at Abydos. Current PM targets cover committed Theban/Memphite rows, not this local Abydos tomb code.",https://www.brooklynmuseum.org/objects/3083
review-014,harvard,harvard-291048,ruler,ambiguous,Akhenaten,supported,supported,supported_context,underresolved,Akhenaten (Amenhotep IV),,incomplete_reconciliation,Harvard's label uses Akhenaten as historical context for this Amarna relief. Two current graph units denote one identity and should be reconciled.,https://www.harvardartmuseums.org/collections/object/291048|https://pharaoh.se/ancient-egypt/pharaoh/amenhotep-iv/
review-015,harvard,harvard-354559,ruler,resolved,Amasis,supported,supported,unsupported_reference_only,false_link,Amasis is mentioned only in a footnote about MFA Boston 36.337,,reference_only_false_link,"The span is real, but it describes a different museum object used as a comparison. Linking the Harvard artifact itself to Amasis is unsupported.",https://www.harvardartmuseums.org/collections/object/354559
review-016,harvard,harvard-289668,ruler,resolved,Arsinoe II,supported,supported,supported,supported,Arsinoe II,leprohon-leprohon-33.02a,,The museum title explicitly identifies Queen Arsinoe II and the current Leprohon source node has the same display identity.,https://www.harvardartmuseums.org/collections/object/289668
review-017,harvard,harvard-292642,ruler,uncertain_identity,Pepi II,supported,supported,uncertain,correct_abstention,,,,Harvard qualifies the dating as 'probably reign of Pepi II'; abstention preserves the museum's uncertainty.,https://www.harvardartmuseums.org/collections/object/292642|https://pharaoh.se/ancient-egypt/pharaohs/
review-018,harvard,harvard-291048,ruler,unmatched,King Rameses,unsupported_overlapping_boundary,supported,unsupported_duplicate_mention,not_applicable,Ramesses II is captured by the separate maximal span in review-019,,overlapping_extraction,'King Rameses' is a truncated overlapping extraction from 'King Rameses II'; it must not form a separate artifact mention.,https://www.harvardartmuseums.org/collections/object/291048
review-019,harvard,harvard-291048,ruler,unmatched,Rameses II,supported,supported,supported_context,underresolved,Ramesses II,,missing_alias|incomplete_reconciliation,Harvard's label explicitly says Rameses II. Current authority uses Ramesses II and still has unreconciled source units; the one-m spelling variant is missing.,https://www.harvardartmuseums.org/collections/object/291048|https://pharaoh.se/ancient-egypt/pharaoh/ramesses-ii/
review-020,harvard,harvard-291707,site,ambiguous,Fayum,supported,supported,supported,correct_abstention,,,place_granularity_homonym,Harvard's place hierarchy supports a Fayum location but does not uniquely distinguish the current city and oasis records.,https://www.harvardartmuseums.org/collections/object/291707|https://gazetteer.dainst.org/doc/2042846.html|https://gazetteer.dainst.org/doc/2751193.html
review-021,harvard,harvard-216208,site,resolved,Fustat,supported,supported,supported,supported,Fustat,idai:2379568,,Harvard's creation place and iDAI Fustat target agree.,https://www.harvardartmuseums.org/collections/object/216208|https://gazetteer.dainst.org/doc/2379568.html
review-022,harvard,harvard-292642,site,resolved,Asyut,supported,supported,supported,supported,Asyut,idai:2042814,,Asyut is a committed alias of iDAI Asyūt.,https://www.harvardartmuseums.org/collections/object/292642|https://gazetteer.dainst.org/doc/2042814.html
review-023,harvard,harvard-100038,site,unmatched,Africa,supported,supported_geographic_container,supported,correct_abstention,Africa (broad geographic container),,authority_geographic_scope,"Africa is genuinely present in Harvard's place hierarchy, but the current Egypt-focused site extract does not offer a suitable canonical target. No link is accepted.",https://www.harvardartmuseums.org/collections/object/100038
review-024,harvard,harvard-286247,site,unmatched,Cerveteri (Etruria),supported,supported,supported,correct_abstention,Cerveteri in Etruria,,authority_geographic_scope,"The Harvard place is explicit but outside the current Egypt-focused 1,000-row iDAI representation. This is an authority-scope gap, not absence of museum evidence.",https://www.harvardartmuseums.org/collections/object/286247
review-025,met,met-543876,excavation,authority_unavailable,MMA excavations,supported,supported,supported,not_applicable,Metropolitan Museum of Art excavation activity,,absent_canonical_entity_type,"The explicit excavation string is valid, but no current committed excavation authority target exists.",https://www.metmuseum.org/art/collection/search/543876
review-026,met,met-561516,excavation,authority_unavailable,"Garstang excavations, 1907",supported,supported,supported,not_applicable,"Garstang excavation campaign, 1907",,absent_canonical_entity_type,"The explicit excavation string is valid, but no current committed excavation authority target exists.",https://www.metmuseum.org/art/collection/search/561516
review-027,met,met-329773,ruler,ambiguous,Amenhotep III,supported,supported,supported,underresolved,Amenhotep III,,incomplete_reconciliation,The structured Met reign is unambiguous; duplicate current authority units produce artificial ambiguity.,https://www.metmuseum.org/art/collection/search/329773|https://pharaoh.se/ancient-egypt/pharaoh/amenhotep-iii/
review-028,met,met-543949,ruler,ambiguous,Xerxes I,supported,supported,supported,underresolved,Xerxes I,,incomplete_reconciliation,The structured Met reign is unambiguous; duplicate current authority units produce artificial ambiguity.,https://www.metmuseum.org/art/collection/search/543949|https://pharaoh.se/ancient-egypt/pharaoh/xerxes-i/
